;model;precision;recall;f1;accuracy
0;dict;75,26%;56,55%;64,55%;71,96%
1;dict;75,50%;49,10%;59,44%;69,78%
2;dict;50,05%;44,75%;45,73%;54,74%
3;dict;55,38%;46,97%;50,67%;58,94%
;;;;;
;;;;;
;;;;;
;model;precision;recall;f1;accuracy
;dict;75,26%;56,55%;64,55%;71,96%
;dict;75,50%;49,10%;59,44%;69,78%
;dict;50,05%;44,75%;45,73%;54,74%
;dict;55,38%;46,97%;50,67%;58,94%
