,mode,precision,recall,f1,accuracy
0,dict,0.8678111302767497,0.7674793482481156,0.8145057252347323,0.8418835848678448
1,dict,0.8464966451041966,0.7560897564632955,0.7986910650051516,0.8275929286634032
2,dict,0.7439711093548615,0.7338595011447162,0.7241701787831192,0.7521644231270814
3,dict,0.8441023841159524,0.7524614746087213,0.7955887654300282,0.8250154434960232
